    10    1   0.10000000000000E+01
     1    1    1   0.00000000000000E+00
     1    1    2   0.00000000000000E+00
     1    1    3   0.00000000000000E+00
     1    1    4   0.00000000000000E+00
     1    1    5   0.00000000000000E+00
     1    1    6   0.00000000000000E+00
     1    1    7   0.00000000000000E+00
     1    1    8   0.00000000000000E+00
     1    1    9   0.00000000000000E+00
     1    1   10   0.00000000000000E+00
     1    1   11   0.00000000000000E+00
     1    1   12   0.00000000000000E+00
     1    1   13   0.00000000000000E+00
     1    2    1   0.00000000000000E+00
     1    2    2   0.00000000000000E+00
     1    2    3   0.00000000000000E+00
     1    2    4   0.00000000000000E+00
     1    2    5   0.00000000000000E+00
     1    2    6   0.00000000000000E+00
     1    2    7   0.00000000000000E+00
     1    2    8   0.00000000000000E+00
     1    2    9   0.00000000000000E+00
     1    2   10   0.00000000000000E+00
     1    2   11   0.00000000000000E+00
     1    2   12   0.00000000000000E+00
     1    2   13   0.00000000000000E+00
     1    3    1   0.00000000000000E+00
     1    3    2   0.00000000000000E+00
     1    3    3   0.00000000000000E+00
     1    3    4   0.00000000000000E+00
     1    3    5   0.00000000000000E+00
     1    3    6   0.00000000000000E+00
     1    3    7   0.00000000000000E+00
     1    3    8   0.00000000000000E+00
     1    3    9   0.00000000000000E+00
     1    3   10   0.00000000000000E+00
     1    3   11   0.00000000000000E+00
     1    3   12   0.00000000000000E+00
     1    3   13   0.00000000000000E+00
     1    4    1   0.00000000000000E+00
     1    4    2   0.00000000000000E+00
     1    4    3   0.00000000000000E+00
     1    4    4   0.00000000000000E+00
     1    4    5   0.00000000000000E+00
     1    4    6   0.00000000000000E+00
     1    4    7   0.00000000000000E+00
     1    4    8   0.00000000000000E+00
     1    4    9   0.00000000000000E+00
     1    4   10   0.00000000000000E+00
     1    4   11   0.00000000000000E+00
     1    4   12   0.00000000000000E+00
     1    4   13   0.00000000000000E+00
     1    5    1   0.24198650629491E-04
     1    5    2   0.33831321663188E-05
     1    5    3   0.60731638731959E-06
     1    5    4   0.14123489041755E-06
     1    5    5   0.39275814631317E-07
     1    5    6   0.11756207770114E-07
     1    5    7   0.36988362149346E-08
     1    5    8   0.11543639675461E-08
     1    5    9   0.36782904931705E-09
     1    5   10   0.11521746556437E-09
     1    5   11   0.36751972145441E-10
     1    5   12   0.11525554127014E-10
     1    5   13   0.36745421653591E-11
     1    6    1   0.22193644640365E-04
     1    6    2   0.31850942364705E-05
     1    6    3   0.57396164129881E-06
     1    6    4   0.13388539704371E-06
     1    6    5   0.37976485980174E-07
     1    6    6   0.11468062102404E-07
     1    6    7   0.36188450325817E-08
     1    6    8   0.11305060075848E-08
     1    6    9   0.35989954485471E-09
     1    6   10   0.11287046181803E-09
     1    6   11   0.35982018961125E-10
     1    6   12   0.11277935251484E-10
     1    6   13   0.36010825530836E-11
     1    7    1   0.20490283609517E-04
     1    7    2   0.29005921671382E-05
     1    7    3   0.53274772967451E-06
     1    7    4   0.12828151365886E-06
     1    7    5   0.37246146155601E-07
     1    7    6   0.11275251732952E-07
     1    7    7   0.35604565099743E-08
     1    7    8   0.11108189666468E-08
     1    7    9   0.35447778402611E-09
     1    7   10   0.11094810935045E-09
     1    7   11   0.35430105342955E-10
     1    7   12   0.11102564122988E-10
     1    7   13   0.35425295640167E-11
     1    8    1   0.18525308065491E-04
     1    8    2   0.25830552755165E-05
     1    8    3   0.50572143910165E-06
     1    8    4   0.12417602090974E-06
     1    8    5   0.36427352710836E-07
     1    8    6   0.11092097029203E-07
     1    8    7   0.35038364303760E-08
     1    8    8   0.10947330991092E-08
     1    8    9   0.34890190630457E-09
     1    8   10   0.10933479391163E-09
     1    8   11   0.34885495274552E-10
     1    8   12   0.10930861927359E-10
     1    8   13   0.34873744544743E-11
     1    9    1   0.16681405100952E-04
     1    9    2   0.23829819990779E-05
     1    9    3   0.47707291861288E-06
     1    9    4   0.11997214069819E-06
     1    9    5   0.35476291832488E-07
     1    9    6   0.10812537579849E-07
     1    9    7   0.34243217611275E-08
     1    9    8   0.10701170332436E-08
     1    9    9   0.34147225250726E-09
     1    9   10   0.10688515449397E-09
     1    9   11   0.34104546899643E-10
     1    9   12   0.10692228951245E-10
     1    9   13   0.34123683416953E-11
     1   10    1   0.15098117654884E-04
     1   10    2   0.22326351237679E-05
     1   10    3   0.45110103139319E-06
     1   10    4   0.11557262847812E-06
     1   10    5   0.34338874409983E-07
     1   10    6   0.10494255073098E-07
     1   10    7   0.33284129978897E-08
     1   10    8   0.10402904963084E-08
     1   10    9   0.33182230735674E-09
     1   10   10   0.10393607382164E-09
     1   10   11   0.33165165856962E-10
     1   10   12   0.10393268722437E-10
     1   10   13   0.33166261793600E-11
     1   11    1   0.13244908278436E-04
     1   11    2   0.19918722677777E-05
     1   11    3   0.41879921963425E-06
     1   11    4   0.10875323097259E-06
     1   11    5   0.32479368753891E-07
     1   11    6   0.99513082559340E-08
     1   11    7   0.31540304918948E-08
     1   11    8   0.98803582464977E-09
     1   11    9   0.31503665548105E-09
     1   11   10   0.98718089515031E-10
     1   11   11   0.31502458035988E-10
     1   11   12   0.98690399999905E-11
     1   11   13   0.31502975968131E-11
     2    1    1   0.00000000000000E+00
     2    1    2   0.00000000000000E+00
     2    1    3   0.00000000000000E+00
     2    1    4   0.00000000000000E+00
     2    1    5   0.00000000000000E+00
     2    1    6   0.00000000000000E+00
     2    1    7   0.00000000000000E+00
     2    1    8   0.00000000000000E+00
     2    1    9   0.00000000000000E+00
     2    1   10   0.00000000000000E+00
     2    1   11   0.00000000000000E+00
     2    1   12   0.00000000000000E+00
     2    1   13   0.00000000000000E+00
     2    2    1   0.00000000000000E+00
     2    2    2   0.00000000000000E+00
     2    2    3   0.00000000000000E+00
     2    2    4   0.00000000000000E+00
     2    2    5   0.00000000000000E+00
     2    2    6   0.00000000000000E+00
     2    2    7   0.00000000000000E+00
     2    2    8   0.00000000000000E+00
     2    2    9   0.00000000000000E+00
     2    2   10   0.00000000000000E+00
     2    2   11   0.00000000000000E+00
     2    2   12   0.00000000000000E+00
     2    2   13   0.00000000000000E+00
     2    3    1   0.00000000000000E+00
     2    3    2   0.00000000000000E+00
     2    3    3   0.00000000000000E+00
     2    3    4   0.00000000000000E+00
     2    3    5   0.00000000000000E+00
     2    3    6   0.00000000000000E+00
     2    3    7   0.00000000000000E+00
     2    3    8   0.00000000000000E+00
     2    3    9   0.00000000000000E+00
     2    3   10   0.00000000000000E+00
     2    3   11   0.00000000000000E+00
     2    3   12   0.00000000000000E+00
     2    3   13   0.00000000000000E+00
     2    4    1   0.00000000000000E+00
     2    4    2   0.00000000000000E+00
     2    4    3   0.00000000000000E+00
     2    4    4   0.00000000000000E+00
     2    4    5   0.00000000000000E+00
     2    4    6   0.00000000000000E+00
     2    4    7   0.00000000000000E+00
     2    4    8   0.00000000000000E+00
     2    4    9   0.00000000000000E+00
     2    4   10   0.00000000000000E+00
