     9    1   0.10000000000000E+01
     1    1    1   0.00000000000000E+00
     1    1    2   0.00000000000000E+00
     1    1    3   0.00000000000000E+00
     1    1    4   0.00000000000000E+00
     1    1    5   0.00000000000000E+00
     1    1    6   0.00000000000000E+00
     1    1    7   0.00000000000000E+00
     1    1    8   0.00000000000000E+00
     1    1    9   0.00000000000000E+00
     1    1   10   0.00000000000000E+00
     1    1   11   0.00000000000000E+00
     1    1   12   0.00000000000000E+00
     1    1   13   0.00000000000000E+00
     1    2    1   0.00000000000000E+00
     1    2    2   0.00000000000000E+00
     1    2    3   0.00000000000000E+00
     1    2    4   0.00000000000000E+00
     1    2    5   0.00000000000000E+00
     1    2    6   0.00000000000000E+00
     1    2    7   0.00000000000000E+00
     1    2    8   0.00000000000000E+00
     1    2    9   0.00000000000000E+00
     1    2   10   0.00000000000000E+00
     1    2   11   0.00000000000000E+00
     1    2   12   0.00000000000000E+00
     1    2   13   0.00000000000000E+00
     1    3    1   0.00000000000000E+00
     1    3    2   0.00000000000000E+00
     1    3    3   0.00000000000000E+00
     1    3    4   0.00000000000000E+00
     1    3    5   0.00000000000000E+00
     1    3    6   0.00000000000000E+00
     1    3    7   0.00000000000000E+00
     1    3    8   0.00000000000000E+00
     1    3    9   0.00000000000000E+00
     1    3   10   0.00000000000000E+00
     1    3   11   0.00000000000000E+00
     1    3   12   0.00000000000000E+00
     1    3   13   0.00000000000000E+00
     1    4    1   0.00000000000000E+00
     1    4    2   0.00000000000000E+00
     1    4    3   0.00000000000000E+00
     1    4    4   0.00000000000000E+00
     1    4    5   0.00000000000000E+00
     1    4    6   0.00000000000000E+00
     1    4    7   0.00000000000000E+00
     1    4    8   0.00000000000000E+00
     1    4    9   0.00000000000000E+00
     1    4   10   0.00000000000000E+00
     1    4   11   0.00000000000000E+00
     1    4   12   0.00000000000000E+00
     1    4   13   0.00000000000000E+00
     1    5    1   0.68401225459730E-05
     1    5    2   0.12619330609429E-05
     1    5    3   0.25919811172013E-06
     1    5    4   0.66954641170021E-07
     1    5    5   0.19721287763802E-07
     1    5    6   0.60111346687677E-08
     1    5    7   0.19029422516116E-08
     1    5    8   0.60115910748574E-09
     1    5    9   0.19274341963186E-09
     1    5   10   0.60496030480942E-10
     1    5   11   0.19335028951868E-10
     1    5   12   0.60626067037426E-11
     1    5   13   0.19356625150865E-11
     1    6    1   0.67698538052297E-05
     1    6    2   0.11904822668637E-05
     1    6    3   0.25098193237311E-06
     1    6    4   0.65112491026019E-07
     1    6    5   0.19400987105577E-07
     1    6    6   0.59479347498060E-08
     1    6    7   0.19062386511897E-08
     1    6    8   0.59027167242811E-09
     1    6    9   0.18922926182189E-09
     1    6   10   0.59442073513088E-10
     1    6   11   0.18994889484254E-10
     1    6   12   0.59561473991357E-11
     1    6   13   0.19016719172042E-11
     1    7    1   0.67722643797525E-05
     1    7    2   0.11247931461366E-05
     1    7    3   0.24432423451982E-06
     1    7    4   0.63763975942059E-07
     1    7    5   0.19100019316836E-07
     1    7    6   0.58133797037591E-08
     1    7    7   0.18637938258240E-08
     1    7    8   0.58396363966081E-09
     1    7    9   0.18659635255294E-09
     1    7   10   0.58665829664475E-10
     1    7   11   0.18751996781150E-10
     1    7   12   0.58818836280498E-11
     1    7   13   0.18779488378478E-11
     1    8    1   0.63774295805365E-05
     1    8    2   0.10584923513704E-05
     1    8    3   0.23177703515793E-06
     1    8    4   0.61078493398957E-07
     1    8    5   0.18347965674623E-07
     1    8    6   0.56957910624587E-08
     1    8    7   0.17860781846007E-08
     1    8    8   0.56077932508108E-09
     1    8    9   0.17935604814424E-09
     1    8   10   0.56247635994446E-10
     1    8   11   0.17957310674884E-10
     1    8   12   0.56274451051644E-11
     1    8   13   0.17969121041692E-11
     1    9    1   0.61101607984237E-05
     1    9    2   0.10097908196714E-05
     1    9    3   0.22331725067856E-06
     1    9    4   0.58644525610557E-07
     1    9    5   0.17630264429342E-07
     1    9    6   0.54275221786610E-08
     1    9    7   0.17245022756555E-08
     1    9    8   0.54157364311654E-09
     1    9    9   0.17306099890227E-09
     1    9   10   0.54258211707753E-10
     1    9   11   0.17321746719873E-10
     1    9   12   0.54278648443240E-11
     1    9   13   0.17322117201288E-11
     1   10    1   0.57781462317311E-05
     1   10    2   0.97021170100614E-06
     1   10    3   0.21429676561717E-06
     1   10    4   0.56266724896882E-07
     1   10    5   0.16921978032586E-07
     1   10    6   0.52641220506497E-08
     1   10    7   0.16555281478634E-08
     1   10    8   0.51958716317621E-09
     1   10    9   0.16792331967889E-09
     1   10   10   0.52633605681101E-10
     1   10   11   0.16800655650945E-10
     1   10   12   0.52645774249264E-11
     1   10   13   0.16804608651313E-11
     1   11    1   0.52996397659914E-05
     1   11    2   0.88236802939012E-06
     1   11    3   0.19494501859955E-06
     1   11    4   0.51727511135294E-07
     1   11    5   0.15588264567235E-07
     1   11    6   0.48016315741645E-08
     1   11    7   0.15271425620924E-08
     1   11    8   0.47892982715373E-09
     1   11    9   0.15295847993240E-09
     1   11   10   0.47942853252976E-10
     1   11   11   0.15302852538442E-10
     1   11   12   0.47962989429777E-11
     1   11   13   0.15309114200777E-11
     2    1    1   0.00000000000000E+00
     2    1    2   0.00000000000000E+00
     2    1    3   0.00000000000000E+00
     2    1    4   0.00000000000000E+00
     2    1    5   0.00000000000000E+00
     2    1    6   0.00000000000000E+00
     2    1    7   0.00000000000000E+00
     2    1    8   0.00000000000000E+00
     2    1    9   0.00000000000000E+00
     2    1   10   0.00000000000000E+00
     2    1   11   0.00000000000000E+00
     2    1   12   0.00000000000000E+00
     2    1   13   0.00000000000000E+00
     2    2    1   0.00000000000000E+00
     2    2    2   0.00000000000000E+00
     2    2    3   0.00000000000000E+00
     2    2    4   0.00000000000000E+00
     2    2    5   0.00000000000000E+00
     2    2    6   0.00000000000000E+00
     2    2    7   0.00000000000000E+00
     2    2    8   0.00000000000000E+00
     2    2    9   0.00000000000000E+00
     2    2   10   0.00000000000000E+00
     2    2   11   0.00000000000000E+00
     2    2   12   0.00000000000000E+00
     2    2   13   0.00000000000000E+00
     2    3    1   0.00000000000000E+00
     2    3    2   0.00000000000000E+00
     2    3    3   0.00000000000000E+00
     2    3    4   0.00000000000000E+00
     2    3    5   0.00000000000000E+00
     2    3    6   0.00000000000000E+00
     2    3    7   0.00000000000000E+00
     2    3    8   0.00000000000000E+00
     2    3    9   0.00000000000000E+00
     2    3   10   0.00000000000000E+00
     2    3   11   0.00000000000000E+00
     2    3   12   0.00000000000000E+00
     2    3   13   0.00000000000000E+00
     2    4    1   0.00000000000000E+00
     2    4    2   0.00000000000000E+00
     2    4    3   0.00000000000000E+00
     2    4    4   0.00000000000000E+00
     2    4    5   0.00000000000000E+00
     2    4    6   0.00000000000000E+00
     2    4    7   0.00000000000000E+00
     2    4    8   0.00000000000000E+00
     2    4    9   0.00000000000000E+00
     2    4   10   0.00000000000000E+00
